"level1_id";"level1_nazev";"level2_id";"level2_nazev";"level3_id";"level3_nazev";"level4_id";"level4_nazev";"level5_id";"level5_nazev";"level6_id";"level6_nazev";"mista_sluz";"mista_prac"
"11000002";"Úřad vlády ČR";"12003123";"Odbor lidských práv a ochrany menšin";"12003124";"Sekretariát Rady vlády ČR pro lid. práva";NA;NA;NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003123";"Odbor lidských práv a ochrany menšin";"12003125";"Kanc. Rady vlády pro zál. rom. menšiny";NA;NA;NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003123";"Odbor lidských práv a ochrany menšin";"12012172";"Odd. sekr. RV pro nestátní neziskové org";NA;NA;NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003123";"Odbor lidských práv a ochrany menšin";"12003126";"Sekr. Vl. výboru pro os. se zdr. post.";NA;NA;NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003104";"Oddělení vnitřní bezpečnosti";NA;NA;NA;NA;NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003134";"Odbor rovnosti žen a mužů";"12003136";"Oddělení průřezových agend";NA;NA;NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003134";"Odbor rovnosti žen a mužů";"12003135";"Sekretariát Rady vlády pro rovnost";NA;NA;NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12003100";"Odbor protidrogové politiky";"12003102";"Národní monitorovací středisko pro drogy";NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12003100";"Odbor protidrogové politiky";"12003101";"Odd. koord. a fin. protidr. politiky";NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12003106";"Sekretariát Bezpečnostní rady státu";NA;NA;NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12003107";"Sekce pro evropské záležitosti";"12003109";"Odbor koordinace evropských politik";"12003110";"Oddělení COREPER II";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12003107";"Sekce pro evropské záležitosti";"12003109";"Odbor koordinace evropských politik";"12003111";"Oddělení COREPER I";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12003107";"Sekce pro evropské záležitosti";"12003109";"Odbor koordinace evropských politik";"12003112";"Sekretariátu Výboru pro EU a RHSD";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12003107";"Sekce pro evropské záležitosti";"12003113";"Odbor komunikace o evr. záležitostech";"12003114";"Oddělení evropské komunikace";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12003107";"Sekce pro evropské záležitosti";"12003113";"Odbor komunikace o evr. záležitostech";"12003115";"Oddělení pro eurocentra";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12003107";"Sekce pro evropské záležitosti";"12011985";"Odbor pro předsednictví ČR v radě EU";"12011986";"Odd. pro komunik. předs. ČR v Radě EU";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12003107";"Sekce pro evropské záležitosti";"12011985";"Odbor pro předsednictví ČR v radě EU";"12011917";"Odd. pro logistiku a org. předs. ČR v Ra";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12003107";"Sekce pro evropské záležitosti";"12011492";"Odbor věcných politik EU";"12012171";"Odd. ekonomických a fiskálních vztahů EU";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12003107";"Sekce pro evropské záležitosti";"12011492";"Odbor věcných politik EU";"12003118";"Oddělení hospodářských politik EU";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12003107";"Sekce pro evropské záležitosti";"12011492";"Odbor věcných politik EU";"12003117";"Oddělení Evropských programů a fondů";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12003107";"Sekce pro evropské záležitosti";"12011493";"Odbor evropské instit. a právní podpory";"12011494";"Oddělení institucionální podpory";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12003107";"Sekce pro evropské záležitosti";"12011493";"Odbor evropské instit. a právní podpory";"12011495";"Oddělení právně-analytické podpory";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12011244";"Sekce Kabinetu předsedy vlády";"12011245";"Oddělení analýz";NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12011244";"Sekce Kabinetu předsedy vlády";"12011037";"Oddělení Kanceláře předsedy vlády";NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12011244";"Sekce Kabinetu předsedy vlády";"12003138";"Oddělení činnosti RHSD";NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12011244";"Sekce Kabinetu předsedy vlády";"12003097";"Odbor protokolu a zahraničních vztahů";"12003098";"Oddělení protokolu";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12011244";"Sekce Kabinetu předsedy vlády";"12003097";"Odbor protokolu a zahraničních vztahů";"12003099";"Oddělení zahraničních vztahů";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12011244";"Sekce Kabinetu předsedy vlády";"12003090";"Odbor komunikace";"12003091";"Oddělení tiskové";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12011244";"Sekce Kabinetu předsedy vlády";"12003090";"Odbor komunikace";"12003092";"Oddělení styku s veřejností";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12003088";"Předseda vlády";"12011244";"Sekce Kabinetu předsedy vlády";"12003090";"Odbor komunikace";"12003093";"Oddělení PR a marketingu";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12012228";"Ministr pro legislativu a předseda LRV";"12012229";"Odbor Kabinetu ministra pro legislativu";"12012271";"Oddělení poradců ministra pro legislativ";NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12012228";"Ministr pro legislativu a předseda LRV";"12012229";"Odbor Kabinetu ministra pro legislativu";"12012230";"Oddělení tiskové a administrativy";NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12012228";"Ministr pro legislativu a předseda LRV";"12012272";"Náměstek ministra pro legislativu";NA;NA;NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12012228";"Ministr pro legislativu a předseda LRV";"12003178";"Sekce Legislativní rady vlády";"12003142";"Oddělení RIA";NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12012228";"Ministr pro legislativu a předseda LRV";"12003178";"Sekce Legislativní rady vlády";"12003144";"Odbor vládní legislativy";"12003148";"Odd. podpůrných činností a sekr. LRV";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12012228";"Ministr pro legislativu a předseda LRV";"12003178";"Sekce Legislativní rady vlády";"12003144";"Odbor vládní legislativy";"12003147";"Odd. soukromoprávní regulace a fin. práv";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12012228";"Ministr pro legislativu a předseda LRV";"12003178";"Sekce Legislativní rady vlády";"12003144";"Odbor vládní legislativy";"12003146";"Oddělení veřejnoprávní regulace II";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12012228";"Ministr pro legislativu a předseda LRV";"12003178";"Sekce Legislativní rady vlády";"12003144";"Odbor vládní legislativy";"12003145";"Oddělení veřejnoprávní regulace I";NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12012228";"Ministr pro legislativu a předseda LRV";"12003178";"Sekce Legislativní rady vlády";"12003143";"Oddělení sekretariátu Etické komise ČR";NA;NA;NA;NA;"0";"0"
"11000002";"Úřad vlády ČR";"12012228";"Ministr pro legislativu a předseda LRV";"12003178";"Sekce Legislativní rady vlády";"12003149";"Odbor kompatibility";"12003152";"Oddělení pro legislativní proces EU";NA;NA;"0";"0"
