"rok","kapitola_kod","kapitola_zkr","organizace_nazev","ustredni_organ","vztah","pocet_celkem","plat_prumer","pocet_predst","pocet_predst_05","pocet_predst_06","pocet_predst_07","pocet_predst_08","pocet_predst_09","pocet_predst_10","pocet_predst_11","pocet_predst_12","pocet_predst_13","pocet_predst_14","pocet_predst_15","pocet_predst_16","pocet_ostat","pocet_ostat_05","pocet_ostat_06","pocet_ostat_07","pocet_ostat_08","pocet_ostat_09","pocet_ostat_10","pocet_ostat_11","pocet_ostat_12","pocet_ostat_13","pocet_ostat_14","pocet_ostat_15","pocet_ostat_16","platy_celkem","pozad_obcanstvi","pozad_zakazkonkurence","pocet_predst_M","pocet_predst_01","pocet_predst_02","pocet_predst_03","pocet_predst_04","pocet_ostat_M","pocet_ostat_01","pocet_ostat_02","pocet_ostat_03","pocet_ostat_04","kapitola_nazev","kapitola_vladni","organizace_typ","kapitola_typ"
2018,"304","ÚV","Úřad vlády ČR",TRUE,"sluz",365,53627.41757990868,91,0,0,0,0,0,0,2,5,18,43,17,6,274,0,0,0,0,6,15,12,70,92,37,42,0,234888089,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Úřad vlády",TRUE,"Centrální ministerstvo","Ministerstva a ÚV"
2018,"306","MZV","Ministerstvo zahraničních věcí",TRUE,"sluz",1816,37804.073054331864,396,0,0,0,0,0,10,12,34,50,185,91,14,1420,0,0,25,320,187,63,74,322,310,114,5,0,823826360,1816,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo zahraničních věcí",TRUE,"Centrální ministerstvo","Ministerstva a ÚV"
2018,"307","MO","Ministerstvo obrany",TRUE,"sluz",1034,47871.33607350097,154,0,0,0,0,0,0,0,11,42,75,19,7,880,0,0,3,5,37,41,78,204,473,32,4,3,593987538,187,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Centrální ministerstvo","Ministerstva a ÚV"
2018,"307","MO","KVV hlavní město Praha",FALSE,"sluz",6,34900.597222222226,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,0,0,2512843,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","KVV Praha – Středočeský kraj",FALSE,"sluz",6,34874.402777777774,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,0,0,2510957,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","KVV Plzeň",FALSE,"sluz",6,35085.277777777774,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,0,0,2526140,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","KVV České Budějovice",FALSE,"sluz",6,34840.027777777774,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,0,0,2508482,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","KVV Karlovy Vary",FALSE,"sluz",6,32666.083333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,0,0,2351958,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","KVV Ústí nad Labem",FALSE,"sluz",6,34166.055555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,0,0,2459956,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","KVV Hradec Králové",FALSE,"sluz",6,34740.11111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,0,0,2501288,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","KVV Pardubice",FALSE,"sluz",6,34779.472222222226,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,0,0,2504122,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","KVV Liberec",FALSE,"sluz",6,35094.972222222226,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,0,0,2526838,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","KVV Jihlava",FALSE,"sluz",6,35930.027777777774,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,0,0,2586962,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","KVV Brno",FALSE,"sluz",6,34460.805555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,0,0,2481178,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","KVV Ostrava",FALSE,"sluz",6,34980.222222222226,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,0,0,2518576,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","KVV Olomouc",FALSE,"sluz",6,33307.069444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,0,0,2398109,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","KVV Zlín",FALSE,"sluz",6,35028.51388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,0,0,2522053,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","Újezdní úřad Boletice",FALSE,"sluz",6,32756.166666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,1,0,0,0,0,0,2358444,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","Újezdní úřad Březina",FALSE,"sluz",6,33778.652777777774,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,1,0,0,0,0,0,2432063,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","Újezdní úřad Hradiště",FALSE,"sluz",6,34206.01388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,1,0,0,0,0,0,2462833,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","Újezdní úřad Libavá",FALSE,"sluz",6,33946.23611111111,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,1,0,0,0,0,0,2444129,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"307","MO","Úřad pro obrannou standardizaci, katalogizaci a státní ověřování jakosti",FALSE,"sluz",140,41628.24702380952,24,0,0,0,0,0,0,0,7,8,8,1,0,116,0,0,0,0,1,11,35,50,15,4,0,0,69935455,140,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo obrany",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"312","MFČR","Ministerstvo financí",TRUE,"sluz",1444,48444.19200138504,209,0,0,0,0,0,0,0,1,3,64,133,8,1235,0,0,0,4,33,24,21,37,326,679,111,0,839440959,124,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo financí",TRUE,"Centrální ministerstvo","Ministerstva a ÚV"
2018,"312","MFČR","Generální finanční ředitelství",FALSE,"sluz",921,635007.7629388346,133,0,0,0,0,0,0,0,10,27,21,73,2,788,0,0,0,2,41,71,182,35,121,314,22,0,7018105796,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo financí",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"312","MFČR","Odvolací finanční ředitelství",FALSE,"sluz",262,NA,44,0,0,0,0,0,0,1,2,23,11,7,0,218,0,0,0,2,15,1,35,165,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo financí",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"312","MFČR","Finanční úřad pro hlavní město Prahu",FALSE,"sluz",2566,NA,348,0,0,0,0,0,0,12,294,39,3,0,0,2218,0,0,0,71,1070,708,356,13,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo financí",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"312","MFČR","Finanční úřad pro Středočeský kraj",FALSE,"sluz",1642,NA,236,0,0,0,0,0,1,13,184,35,3,0,0,1406,0,0,0,63,657,454,222,10,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo financí",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"312","MFČR","Finanční úřad pro Jihočeský kraj",FALSE,"sluz",895,NA,132,0,0,0,0,0,1,5,100,23,3,0,0,763,0,0,0,41,348,223,139,12,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo financí",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"312","MFČR","Finanční úřad pro Plzeňský kraj",FALSE,"sluz",760,NA,113,0,0,0,0,0,1,0,86,23,3,0,0,647,0,0,0,28,285,205,119,10,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo financí",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"312","MFČR","Finanční úřad pro Karlovarský kraj",FALSE,"sluz",377,NA,56,0,0,0,0,0,0,1,37,15,3,0,0,321,0,0,0,15,128,107,61,10,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo financí",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"312","MFČR","Finanční úřad pro Ústecký kraj",FALSE,"sluz",899,NA,139,0,0,0,0,0,0,7,105,24,3,0,0,760,0,0,0,23,339,262,125,11,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo financí",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"312","MFČR","Finanční úřad pro Liberecký kraj",FALSE,"sluz",555,NA,81,0,0,0,0,0,1,2,59,16,3,0,0,474,0,0,0,1,230,153,81,9,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo financí",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
2018,"312","MFČR","Finanční úřad pro Královéhradecký kraj",FALSE,"sluz",720,NA,101,0,0,0,0,0,1,5,73,19,3,0,0,619,0,0,0,18,289,199,100,13,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ministerstvo financí",TRUE,"Mimo ministerstvo","Ministerstva a ÚV"
